category,title,description,longitude,latitude,image
Entertainment,Tokyo Dome,"Tokyo Dome (aka ‘Big Egg’) is home to the Yomiuri Giants. Love ’em or hate ’em, they're the most consistently successful team in Japanese baseball. If you’re looking to see the Giants in action, the baseball season runs from the end of March to the end of October. Tickets sell out in advance; get them early at www.giants.jp.",139.7517859,35.70553084,
Attractions,Tokyo Metropolitan Government Building,"Tokyo's city hall – a landmark building designed by Tange Kenzō – has observatories (202m) atop both the south and north towers of Building 1 (the views are virtually the same). On a clear day (morning is best), you may catch a glimpse of Mt Fuji to the west, beyond the urban sprawl; after dark, it's illuminated buildings all the way to the horizon. Direct access elevators are on the ground floor; last entry is at 10.30pm.",139.691699704635,35.6892358251986,https://lonelyplanetimages.imgix.net/mastheads/534724115_full.jpg?fit=crop&w=320&h=140
Shopping,Isetan,"Isetan is our favourite Tokyo department store for several reasons: the up-and-coming Japanese fashion designers (check the 2nd floor Tokyo Closet, and 3rd floor Re-Style boutiques in the main building and the 2nd floor of the men's building); the homewares from contemporary artisans (5th floor); and the quite literally mouthwatering depachika (basement food hall).",139.704464250522,35.6914592213077,
Restaurants,Kikunoi,"Exquisitely prepared seasonal dishes are as beautiful as they are delicious at this Tokyo outpost of one of Kyoto's most acclaimed kaiseki (Japanese haute cuisine) restaurants. Kikunoi’s third-generation chef, Murata Yoshihiro, has written a book translated into English on kaiseki that the staff helpfully use to explain the dishes you are served, if you don't speak Japanese.",139.734185,35.669691,
Entertainment,Unit,"This subterranean club stages live music and DJ-hosted events (sometimes staggered on the same night). The solid line-up includes Japanese indie bands, veterans playing to a smaller crowd and overseas artists making their Japan debut. Unit has high ceilings and an intentionally industrial-cool interior (in addition to excellent sound), separating it from Tokyo's grungier live-music spots.",139.702447909812,35.64705450198,
Attractions,Tokyo National Museum,"If you visit only one museum in Tokyo, make it the Tokyo National Museum. Here you'll find the world's largest collection of Japanese art, including ancient pottery, Buddhist sculptures, samurai swords, colourful ukiyo-e (woodblock prints), gorgeous kimonos and much, much more. Visitors with only a couple of hours to spare should focus on the Honkan (Japanese Gallery), which has a specially curated selection of artistic highlights on the 2nd floor.",139.776413,35.718765,https://lonelyplanetimages.imgix.net/a/g/hi/t/d9960974f6e911075de951b22a332fbe-tokyo-national-museum.jpg?fit=crop&w=320&h=140
Attractions,Edo-Tokyo Museum,"Tokyo's history museum documents the city's transformation from tidal flatlands to feudal capital to modern metropolis via detailed scale recreations of townscapes, villas and tenement homes, plus artefacts such as ukiyo-e (woodblock prints) and old maps. Reopened in March 2018 after a renovation, the museum also has interactive displays, multilingual touch-screen panels and audio guides. Still, the best way to tour the museum is with one of the gracious English-speaking volunteer guides, who can really bring the history to life.",139.796088902375,35.6965312332222,https://lonelyplanetimages.imgix.net/mastheads/GettyImages-157584041_super.jpg?fit=crop&w=320&h=140
Shopping,Tokyo Hotarudo,"This curio shop is run by an eccentric young man who prefers to dress as if the 20th century hasn't come and gone already. If you think that sounds marvellous, you'll want to check out his collection of vintage dresses and bags, antique lamps, watches and decorative objet. The entrance is tricky: look for a vertical black sign with a pointing finger.",139.793998,35.713085,
Attractions,Koishikawa Kōrakuen,"Established in the mid-17th century as the property of the Tokugawa clan, this formal strolling garden incorporates elements of Chinese and Japanese landscaping. It's among Tokyo's most attractive gardens, although nowadays the shakkei (borrowed scenery) also includes the contemporary skyline of Tokyo Dome.",139.749141,35.705611,https://lonelyplanetimages.imgix.net/a/g/hi/t/4f2f1ef1052811f385ef4ed3c6d6edd2-koishikawa-korakuen.jpg?fit=crop&w=320&h=140
Attractions,Omote-sandō,"This broad, tree-lined boulevard is lined with boutiques from the top European fashion houses. More interesting are the buildings themselves, designed by some of the biggest names in Japanese architecture. There's no better (or more convenient) place to get an overview of Japan's current sense of design. Highlights include the Dior boutique by SANAA (Nishizawa Ryue and Sejima Kazuyo) and the Tod's boutique by Itō Toyō.",139.711024653264,35.6657747021601,https://lonelyplanetimages.imgix.net/mastheads/501526417_high.jpg?fit=crop&w=320&h=140
